subid,sex,agebin,task,item,q,q_kind,answer,task_num,site,age
MC-canada_16,M,yng,moral,namecall,2,0,3,moral2,canada,6.143737166
MC-canada_16,M,yng,moral,namecall,2,1,N,moral2.1,canada,6.143737166
MC-canada_16,M,yng,moral,namecall,2,2,Y,moral2.2,canada,6.143737166
MC-canada_16,M,yng,moral,namecall,2,3,N,moral2.3,canada,6.143737166
MC-canada_16,M,yng,moral,rip,3,0,1,moral3,canada,6.143737166
MC-canada_16,M,yng,moral,rip,3,1,N,moral3.1,canada,6.143737166
MC-canada_16,M,yng,moral,rip,3,2,Y,moral3.2,canada,6.143737166
MC-canada_16,M,yng,moral,rip,3,3,N,moral3.3,canada,6.143737166
MC-canada_17,M,yng,moral,push,1,0,3,moral1,canada,8.761122519
MC-canada_17,M,yng,moral,push,1,1,N,moral1.1,canada,8.761122519
MC-canada_17,M,yng,moral,push,1,2,Y,moral1.2,canada,8.761122519
MC-canada_17,M,yng,moral,push,1,3,N,moral1.3,canada,8.761122519
MC-canada_17,M,yng,moral,namecall,2,0,2,moral2,canada,8.761122519
MC-canada_17,M,yng,moral,namecall,2,1,N,moral2.1,canada,8.761122519
MC-canada_17,M,yng,moral,namecall,2,2,N,moral2.2,canada,8.761122519
MC-canada_17,M,yng,moral,namecall,2,3,N,moral2.3,canada,8.761122519
MC-canada_17,M,yng,moral,rip,3,0,3,moral3,canada,8.761122519
MC-canada_17,M,yng,moral,rip,3,1,N,moral3.1,canada,8.761122519
MC-canada_17,M,yng,moral,rip,3,2,N,moral3.2,canada,8.761122519
MC-canada_17,M,yng,moral,rip,3,3,N,moral3.3,canada,8.761122519
MC-canada_18,M,mid,moral,push,1,0,3,moral1,canada,10.80082136
MC-canada_18,M,mid,moral,push,1,1,N,moral1.1,canada,10.80082136
MC-canada_18,M,mid,moral,push,1,2,N,moral1.2,canada,10.80082136
MC-canada_18,M,mid,moral,push,1,3,Y,moral1.3,canada,10.80082136
MC-canada_18,M,mid,moral,namecall,2,0,3,moral2,canada,10.80082136
MC-canada_18,M,mid,moral,namecall,2,1,N,moral2.1,canada,10.80082136
MC-canada_18,M,mid,moral,namecall,2,2,N,moral2.2,canada,10.80082136
MC-canada_18,M,mid,moral,namecall,2,3,N,moral2.3,canada,10.80082136
