subid,justifications,item,theme-MM,theme 2- MM,theme-AA,theme 2-AA,theme-HY,theme 2- HY,,Agreement,2nd Agreement,Final theme
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,his friend's head might hit the ground and break,push,injury,,injury,,injury,,,1,,injury
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,inappropriate and naked,swimsuit,social order,,social order,,social order,,,1,,social order
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,school is for studying not cursing each other out,bad name,social order,,social order,disrespect,social order,,,1,,social order
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,"the teacher might get embarrassed, I don't even know the first names of my teachers, its disrespectful to an elder",teacher,disrespect,,disrespect,,disrespect,,,1,,disrespect
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,"because the friend put in so much effort which is bad, it's wasteful",drawing,embarrassing,,wrong,,disrespect,,,0,0,disrespect
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,someone can trip on the toys,toys,injury,,injury,,injury,,,1,,injury
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,the other person will get hungry and thirsty and want food,fasting,disrespect,,disrespect,,disrespect,,,1,,disrespect
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,his prayer is not accepted,prayer,religion,,religious,,religious,,,1,,religious
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,"should wear black, I'm not wearing black right now what I'm doing is really bad and inappropriate ",red clothes,social order,,social order,,social order,,,1,,social order
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
SA100416-1,"prayer has its own rules, his prayer will not be accepted ",joke,religion,,religious,,religious,,,1,,religious
SA100416-1,,,,,,,,,,,,
SA100416-1,,,,,,,,,,,,
